EpThisIter,ev_tdlam_before,surrgain,EpisodesSoFar,EpLenMean,TimeElapsed,TimestepsSoFar,meankl,optimgain,EpRewMean,entloss,entropy
7,-3.5664496,0.4510298,1796,35.5,370.63529872894287,61319,0.010588113,0.4510298,7.948490291017298e-05,0.0,38.959934
7,-1.4741735,0.41728598,1803,35.025,372.18670129776,61556,0.011945732,0.41728598,7.15031771891676e-05,0.0,38.956463
8,-5.1096983,0.5580882,1811,34.175,373.63682866096497,61815,0.013149278,0.5580882,8.117495383998573e-05,0.0,38.963135
7,-1.7873414,0.48853713,1818,33.2,375.0905833244324,62020,0.014386396,0.48853713,6.929740761165504e-05,0.0,38.95285
8,-13.29594,0.52782315,1826,33.725,376.559592962265,62286,0.012127738,0.52782315,7.261076243744088e-05,0.0,38.945225
7,-1.9585943,0.40052283,1833,33.6,378.05561351776123,62552,0.011054985,0.40052283,6.55455578334416e-05,0.0,38.939514
7,-1.2010458,0.42219782,1840,33.7,379.5176820755005,62814,0.012214944,0.42219782,6.646331051480211e-05,0.0,38.919437
7,-5.5993505,0.3553425,1847,34.025,381.0450174808502,63042,0.011710728,0.3553425,4.912400057814801e-05,0.0,38.912426
7,-4.5872474,0.37263888,1854,35.225,382.5673899650574,63302,0.009466314,0.37263888,5.525737039873301e-05,0.0,38.900955
8,-8.606995,0.37204272,1862,35.675,384.3840229511261,63583,0.011571962,0.37204272,6.0073281160742026e-05,0.0,38.90176
8,-8.026162,0.97297966,1870,35.0,386.4588723182678,63834,0.012373745,0.97297966,5.448660671227498e-05,0.0,38.89966
7,-7.4607134,0.5355095,1877,34.175,388.6400372982025,64106,0.012686878,0.5355095,6.545935535715143e-05,0.0,38.887493
7,-0.7545053,0.3558092,1884,35.175,390.75058484077454,64344,0.011361456,0.3558092,5.28584640202012e-05,0.0,38.88052
8,-2.6153214,0.18775022,1892,34.225,392.6878516674042,64597,0.0038048127,0.18775022,5.539723709100411e-05,0.0,38.877285
7,-11.407693,0.53963256,1899,34.25,394.36642694473267,64840,0.010218711,0.53963256,5.6702115416596744e-05,0.0,38.894547
7,-17.187468,0.39528912,1906,34.225,395.9061825275421,65082,0.012387731,0.39528912,5.3490214855726815e-05,0.0,38.89363
8,-5.1808634,0.36024112,1914,34.15,397.4433014392853,65351,0.010342807,0.36024112,6.779140289913348e-05,0.0,38.913483
8,-8.375434,0.37741762,1922,33.525,398.99153566360474,65622,0.012540695,0.37741762,9.345245025074951e-05,0.0,38.902462
7,-9.324858,0.153756,1929,34.4,400.5272560119629,65874,0.004820874,0.153756,9.979732334299998e-05,0.0,38.901127
6,-12.363952,0.4982556,1935,34.375,401.9817125797272,66108,0.012528809,0.4982556,9.514086259702006e-05,0.0,38.90065
8,-14.251991,0.36847946,1943,34.925,403.475887298584,66376,0.012578543,0.36847946,9.277645262359341e-05,0.0,38.88835
8,-4.9001293,0.5846851,1951,34.525,404.9923529624939,66643,0.014748119,0.5846851,7.543352474094073e-05,0.0,38.885303
6,-13.441969,0.36271107,1957,35.2,406.5662770271301,66871,0.011691731,0.36271107,7.036630720990503e-05,0.0,38.88142
5,-12.080119,0.47015846,1962,37.4,408.24781036376953,67118,0.013469636,0.47015846,5.2779100791975885e-05,0.0,38.886215
8,-0.3242309,0.4194072,1970,36.825,409.7859597206116,67379,0.01171261,0.4194072,4.837608551708709e-05,0.0,38.892567
9,-5.2647367,0.36530584,1979,34.35,411.30084681510925,67634,0.012238536,0.36530584,5.623411436147192e-05,0.0,38.89243
7,-21.298933,0.1677511,1986,35.775,413.0268244743347,67885,0.0043648044,0.1677511,5.682174037065873e-05,0.0,38.88867
8,-8.738463,0.46186578,1994,34.8,414.61459493637085,68144,0.012212634,0.46186578,7.177322845184706e-05,0.0,38.89963
8,-10.905343,0.53526103,2002,31.475,416.1772429943085,68377,0.013224744,0.53526103,6.849656776401456e-05,0.0,38.89355
7,-7.0916576,0.3863385,2009,31.75,417.72969007492065,68622,0.010709764,0.3863385,6.581512329564315e-05,0.0,38.91418
6,-6.6138062,0.33871913,2015,33.3,419.29309606552124,68847,0.013191631,0.33871913,8.338835006176314e-05,0.0,38.912567
9,-8.544561,0.41664782,2024,32.875,420.92465710639954,69121,0.011381915,0.41664782,8.324859284732599e-05,0.0,38.902664
7,-7.1607294,0.37072253,2031,32.7,422.5213084220886,69364,0.011353953,0.37072253,8.733876094845457e-05,0.0,38.894047
8,-9.906685,0.39525092,2039,33.45,424.0486991405487,69639,0.011302175,0.39525092,8.94838836267533e-05,0.0,38.920704
6,-3.6213074,0.30145156,2045,35.175,425.5315227508545,69905,0.010438999,0.30145156,0.00010903428065073156,0.0,38.92912
7,-6.923968,0.4635185,2052,34.825,427.0227565765381,70143,0.012361891,0.4635185,9.096670891424282e-05,0.0,38.941086
8,-10.675345,0.3369778,2060,34.825,428.5063805580139,70385,0.012217389,0.3369778,9.815605517035385e-05,0.0,38.948135
7,-4.251002,0.31132486,2067,35.15,429.9849474430084,70632,0.012378788,0.31132486,9.526305271183769e-05,0.0,38.9354
6,-3.8808508,0.24085842,2073,36.575,431.48940110206604,70888,0.004004613,0.24085842,9.563469217351513e-05,0.0,38.934677
8,-8.238635,0.39430392,2081,35.8,432.9288284778595,71163,0.01085107,0.39430392,9.212573396732247e-05,0.0,38.925823
7,-0.0450238,0.33595425,2088,35.575,434.46369314193726,71423,0.011934351,0.33595425,8.723927044857222e-05,0.0,38.926815
8,-6.9365187,0.62959206,2096,35.725,436.07012820243835,71684,0.010184767,0.62959206,9.158660460802944e-05,0.0,38.90082
7,-5.8291097,0.18118706,2103,35.375,437.50426411628723,71919,0.0038434947,0.18118706,9.556399434212305e-05,0.0,38.90032
7,-13.893532,0.39140213,2110,36.15,439.004967212677,72198,0.010252345,0.39140213,9.417800330619511e-05,0.0,38.9127
7,-7.7109118,0.41678494,2117,35.8,440.4896230697632,72444,0.012259142,0.41678494,8.164281982323324e-05,0.0,38.905453
7,-7.0184,0.5099642,2124,35.05,441.94173431396484,72688,0.011661477,0.5099642,6.941820912912904e-05,0.0,38.908142
8,-5.646804,0.35312295,2132,35.125,443.4806327819824,72949,0.013404286,0.35312295,7.474723712949705e-05,0.0,38.93249
8,-9.852025,0.33817273,2140,34.425,444.8636260032654,73197,0.0051714513,0.33817273,6.294691590587869e-05,0.0,38.933773
8,-20.643654,0.27933317,2148,33.7,446.3235433101654,73460,0.0045295893,0.27933317,5.6801455395602705e-05,0.0,38.933273
8,-10.668184,0.3827176,2156,32.475,447.80948400497437,73718,0.012785583,0.3827176,7.333316277736571e-05,0.0,38.93378
8,-9.491538,0.37786508,2164,32.125,449.50768780708313,73973,0.011498258,0.37786508,8.744708590948487e-05,0.0,38.925976
9,-6.602339,0.35262808,2173,31.375,451.17336344718933,74240,0.011190552,0.35262808,8.992929863405975e-05,0.0,38.914047
8,-6.277405,0.38324454,2181,31.4,452.69229078292847,74489,0.011944387,0.38324454,9.285106722488352e-05,0.0,38.89345
10,-20.94539,0.35816628,2191,29.95,454.35666966438293,74758,0.011180595,0.35816628,8.192742863441429e-05,0.0,38.893463
6,-1.6419008,0.32573655,2197,30.85,455.81902408599854,74985,0.012555264,0.32573655,6.858314158411083e-05,0.0,38.88269
7,-11.005303,0.3330946,2204,30.8,457.2362277507782,75205,0.01192904,0.3330946,5.407429823538057e-05,0.0,38.877716
8,-7.6123943,0.3574484,2212,32.1,458.74493741989136,75487,0.0101364665,0.3574484,5.157960254501459e-05,0.0,38.887375
7,-15.811684,0.53762054,2219,32.35,460.3167266845703,75737,0.012920444,0.53762054,4.332815168756206e-05,0.0,38.88653
7,-4.630148,0.48575845,2226,33.925,461.74106764793396,75978,0.004049122,0.48575845,4.300830231626604e-05,0.0,38.891125
8,-3.949233,0.40584737,2234,33.15,463.24926233291626,76214,0.012108993,0.40584737,4.7486019470366196e-05,0.0,38.913418
11,-7.8718796,0.3740137,2245,31.45,464.7851564884186,76499,0.011078093,0.3740137,5.918196925021228e-05,0.0,38.92416
8,-4.5552764,0.44603238,2253,31.375,467.11178255081177,76764,0.012207199,0.44603238,4.461648383038208e-05,0.0,38.90434
6,-7.194398,0.4740674,2259,32.275,468.58235001564026,77028,0.014196627,0.4740674,5.0347133869568674e-05,0.0,38.88199
8,-6.7611933,0.5880263,2267,31.65,470.1074995994568,77290,0.014835957,0.5880263,6.405420128798687e-05,0.0,38.864716
9,-5.1676393,0.42302775,2276,31.875,471.4899559020996,77550,0.010997647,0.42302775,5.85227020654398e-05,0.0,38.88347
6,-4.870695,0.40268445,2282,34.075,473.01760268211365,77786,0.013317837,0.40268445,5.6923096509809174e-05,0.0,38.860813
6,-0.9798111,0.17920737,2288,35.125,474.4781632423401,78015,0.004448635,0.17920737,5.4042589922849884e-05,0.0,38.855602
9,-8.334415,0.28391948,2297,33.775,475.90196466445923,78280,0.0041638333,0.28391948,5.6726570935911645e-05,0.0,38.832306
5,-2.2338154,0.46366444,2302,34.1,477.3325762748718,78496,0.011143735,0.46366444,5.1607548857903776e-05,0.0,38.81873
7,-7.589161,0.41289213,2309,34.85,478.75332045555115,78750,0.011828234,0.41289213,5.6217754577034585e-05,0.0,38.83046
9,-27.547277,0.39503714,2318,35.5,480.13941383361816,79019,0.013764352,0.39503714,5.488582863641335e-05,0.0,38.84769
8,-16.259571,0.4456655,2326,32.95,481.56312322616577,79261,0.011150784,0.4456655,5.2268584362425875e-05,0.0,38.8448
9,-8.056237,0.5095724,2335,32.125,483.0606687068939,79523,0.011598537,0.5095724,5.362357837264645e-05,0.0,38.861103
7,-0.97652745,0.50621706,2342,31.65,484.46519947052,79762,0.014046496,0.50621706,5.050836385914008e-05,0.0,38.85465
8,-4.320807,0.41381788,2350,31.475,485.9382903575897,80037,0.012449065,0.41381788,4.679260275272393e-05,0.0,38.851532
8,-9.839384,0.3827508,2358,32.25,487.3516139984131,80309,0.0047345543,0.3827508,5.685214758993408e-05,0.0,38.873867
7,-9.469805,0.5255716,2365,34.1,488.8202986717224,80579,0.0143993925,0.5255716,5.534436091851262e-05,0.0,38.866467
8,-1.6126728,0.35601732,2373,33.775,490.34899640083313,80822,0.012291685,0.35601732,5.892953679865077e-05,0.0,38.854824
7,-2.331632,0.43715167,2380,33.75,491.8629946708679,81060,0.011671682,0.43715167,7.264861372634638e-05,0.0,38.86117
6,-4.799892,0.22321984,2386,34.9,493.3303191661835,81294,0.003892343,0.22321984,7.218539598906076e-05,0.0,38.889477
9,-4.2968307,0.37779853,2395,34.5,494.7964725494385,81578,0.010690514,0.37779853,8.64440678315766e-05,0.0,38.890507
8,-14.723317,0.2495417,2403,32.95,496.28075408935547,81815,0.0038149757,0.2495417,8.399980970832127e-05,0.0,38.891907
8,-2.1932597,0.39981595,2411,32.875,497.7063717842102,82075,0.0116493795,0.39981595,8.11808431230441e-05,0.0,38.89702
9,-10.614741,0.39708507,2420,31.825,499.14804196357727,82333,0.013104755,0.39708507,6.208942388212553e-05,0.0,38.899136
6,-6.0096116,0.3480849,2426,31.875,500.58790373802185,82569,0.0106720645,0.3480849,5.328330713728889e-05,0.0,38.900604
