# {"t_start": 1763765866.546608, "env_id": null} 
r,l,t
1e-06,34,20.360841
0.000186,50,20.505792
1.6e-05,40,20.572999
0.000281,46,20.642909
9.5e-05,45,20.717938
1.8e-05,51,20.790133
8.2e-05,70,20.97465
0.0,38,21.04116
0.000523,31,21.092376
1e-06,34,21.150609
8.7e-05,35,21.206089
0.0,34,21.257019
1e-06,42,21.317616
3e-06,33,21.435397
0.000268,52,21.517283
7e-06,47,21.588306
9.2e-05,22,21.621232
7.2e-05,30,21.66466
1e-06,30,21.708864
7.9e-05,36,21.759124
1e-06,29,21.799087
2.4e-05,31,21.915749
1e-06,28,21.956928
2e-06,29,22.00244
0.000191,50,22.076916
2e-06,26,22.115996
0.000285,42,22.178871
6.8e-05,37,22.234165
0.000311,30,22.346823
0.000435,26,22.383466
1e-06,35,22.437573
2.2e-05,23,22.4701
0.000264,22,22.507791
0.0,28,22.549124
2e-06,33,22.598454
0.0,40,22.664127
3.6e-05,24,22.706602
3e-06,26,22.8209
4.6e-05,32,22.869459
3e-06,38,22.925474
2e-06,30,22.97125
0.000132,35,23.026551
1e-06,38,23.083812
2.2e-05,60,23.177431
0.000161,42,23.310696
0.000338,32,23.357829
3.8e-05,26,23.397143
1.2e-05,55,23.479582
0.000318,32,23.529958
1.3e-05,30,23.573684
0.000128,36,23.629146
4.8e-05,30,23.745627
2e-06,24,23.778381
1.3e-05,30,23.82693
0.0,30,23.870466
1e-06,46,23.94523
3e-06,58,24.039595
8e-06,25,24.083918
1.6e-05,27,24.214281
1e-05,29,24.264484
0.000229,32,24.319814
0.000138,29,24.370264
3.4e-05,27,24.420598
5.7e-05,32,24.476644
2.9e-05,31,24.52683
0.000151,51,24.602921
0.0,43,24.738713
1e-06,30,24.783271
5.8e-05,32,24.831239
0.0,32,24.87805
0.000336,33,24.928124
1e-06,39,24.985955
5e-05,41,25.048161
4e-06,35,25.174805
0.000131,29,25.21506
0.000207,36,25.267881
2e-06,25,25.304679
0.000298,28,25.347104
1e-06,34,25.398678
4e-06,27,25.436086
1e-06,46,25.509487
6e-06,35,25.64493
2e-06,50,25.721168
1e-06,36,25.77371
1e-06,55,25.866745
8e-05,31,25.915273
0.000199,26,25.956212
3.7e-05,30,26.00483
1e-06,34,26.133273
1e-06,28,26.177742
0.000266,27,26.219941
0.00081,38,26.281012
0.000239,22,26.315517
0.0,28,26.359354
0.000153,30,26.410483
1.7e-05,43,26.477466
2.9e-05,32,26.597963
3.7e-05,32,26.651839
2e-06,26,26.693914
3.9e-05,34,26.746778
4e-06,34,26.799
0.000176,33,26.852752
6.9e-05,28,26.895224
7.8e-05,29,26.941258
0.00028,31,27.072012
0.000119,28,27.118778
2e-06,34,27.174208
3e-06,36,27.236032
1e-06,45,27.307904
1e-06,27,27.353916
0.000172,39,27.414985
8.2e-05,35,27.482339
0.000112,34,27.606933
0.000278,41,27.668398
3e-06,34,27.720149
9e-06,28,27.763853
5.8e-05,32,27.810991
0.000299,45,27.876255
1e-06,37,27.932511
0.000178,29,28.052367
1e-06,46,28.121826
0.000228,30,28.173354
0.000124,51,28.2548
1e-06,37,28.313305
5.4e-05,54,28.39482
5e-05,34,28.524878
1e-06,34,28.573759
1e-06,40,28.64501
1e-06,27,28.69269
1.5e-05,32,28.744711
1e-06,29,28.787782
3e-06,21,28.818092
4.1e-05,33,28.867562
0.0,46,29.011789
4.7e-05,26,29.050071
0.000145,49,29.122279
1e-06,30,29.167836
0.000762,26,29.20773
0.000134,34,29.257082
8.7e-05,34,29.312026
0.0,36,29.365559
0.000201,27,29.478558
