# {"t_start": 1763765866.546608, "env_id": null} 
r,l,t
0.0,28,426.175291
8.6e-05,37,426.243182
1.1e-05,48,426.319616
8e-06,27,426.359249
1.8e-05,29,426.400817
0.000164,70,426.572037
0.0,22,426.605102
0.00037,39,426.660569
0.000248,49,426.732448
0.000111,50,426.819049
4e-05,36,426.883661
0.000303,28,426.997875
0.0,22,427.033038
9.3e-05,37,427.089922
1.8e-05,35,427.147596
6.1e-05,45,427.213798
0.00049,37,427.275744
0.000411,43,427.348275
0.0,24,427.470913
0.0,29,427.525287
0.0,24,427.568839
2e-06,19,427.600767
0.0,33,427.654081
0.000261,28,427.700043
1.3e-05,27,427.746348
0.0,53,427.835531
0.0,27,427.881882
7e-06,48,428.038732
5e-06,21,428.075545
0.000215,26,428.116506
1e-06,24,428.153653
4e-05,28,428.19351
0.0,45,428.261945
3.1e-05,46,428.337525
0.000471,29,428.464175
1e-06,31,428.509218
0.0,32,428.562758
0.000247,26,428.60932
1.3e-05,40,428.679872
4.5e-05,26,428.724343
0.000139,43,428.796273
0.0,37,428.858118
9e-06,26,428.977129
0.0,24,429.01645
0.000181,28,429.066584
0.0,53,429.159389
8.1e-05,35,429.224197
2e-06,30,429.275325
6e-05,45,429.344771
2e-06,31,429.391522
2e-06,23,429.494732
1.7e-05,34,429.547225
0.000134,25,429.586021
0.000292,30,429.63045
2e-06,27,429.677583
5.1e-05,55,429.772568
0.000332,23,429.811119
3e-06,25,429.846568
0.0,33,429.968069
1e-06,38,430.025208
4.7e-05,44,430.093118
0.0,39,430.152257
2e-06,31,430.209009
2.4e-05,22,430.253713
1.5e-05,28,430.308012
0.0,43,430.458793
0.0,32,430.517724
0.000111,40,430.588393
9.7e-05,41,430.657168
0.00022,35,430.708315
1e-06,23,430.747916
0.0,32,430.805597
5e-05,30,430.851153
1.1e-05,28,430.960685
1e-06,45,431.034297
1.7e-05,46,431.10845
6e-06,33,431.159888
0.0,38,431.217356
0.000251,34,431.266804
0.00013,23,431.301943
6.6e-05,41,431.454859
0.0,36,431.513068
0.0,27,431.568145
1e-06,47,431.641091
1.2e-05,23,431.677693
5e-05,30,431.728354
7.3e-05,53,431.820287
0.000127,67,432.022795
2.2e-05,35,432.087955
9e-06,33,432.147711
1e-06,28,432.197064
0.0,24,432.238128
1.4e-05,32,432.284553
0.00019,60,432.372331
0.000199,46,432.508168
2e-06,41,432.587109
0.0,33,432.642575
0.000112,27,432.687459
0.00017,43,432.749462
5.2e-05,66,432.844782
6.6e-05,30,432.966118
0.000149,36,433.020373
0.00039,34,433.076575
0.0,57,433.16062
3e-06,36,433.215592
0.000268,56,433.297821
0.000103,36,433.416988
0.0,46,433.493953
0.000108,45,433.582021
5e-06,21,433.617923
2.6e-05,27,433.660686
0.0,25,433.697676
1e-06,33,433.749401
0.000154,49,433.88733
1e-06,31,433.93145
0.000253,22,433.964472
0.000186,22,434.001296
5e-06,28,434.051889
0.000223,47,434.125195
9e-06,46,434.206682
0.0,30,434.254384
0.000117,23,434.399134
0.0,24,434.449201
1.1e-05,24,434.498782
0.0,40,434.565955
1e-06,23,434.606616
6.1e-05,33,434.66486
0.000285,34,434.723474
4.7e-05,26,434.76671
1e-06,26,434.808002
3.3e-05,37,434.930362
1.5e-05,33,434.979456
1.9e-05,43,435.05464
0.000127,57,435.158066
0.000257,39,435.234528
2.1e-05,41,435.297364
1e-06,47,435.447191
0.000278,50,435.536333
2.1e-05,26,435.575849
0.000257,33,435.627185
0.000241,21,435.662638
0.0,33,435.723478
3e-06,50,435.798984
9e-06,43,435.936924
6.6e-05,28,435.9802
1.6e-05,33,436.029608
3e-05,34,436.080749
0.000143,56,436.159503
0.000151,31,436.207835
9.5e-05,71,436.411433
0.000185,37,436.465739
3.1e-05,37,436.522021
8e-06,43,436.58791
1e-06,22,436.647632
0.0,42,436.732081
4e-06,38,436.834232
2.4e-05,30,436.992596
1.5e-05,26,437.044099
0.0,43,437.126391
0.0,22,437.165091
0.00017,28,437.212694
4.8e-05,46,437.29248
0.000198,37,437.354787
0.000235,29,437.406138
0.0,45,437.560518
1.5e-05,27,437.598596
0.000222,32,437.64809
4.3e-05,28,437.690052
1e-06,39,437.743793
0.000348,26,437.781265
2.5e-05,23,437.813348
2.3e-05,26,437.851222
6.2e-05,23,437.957994
0.000177,45,438.023041
1e-06,24,438.061702
2.9e-05,26,438.108983
0.000187,23,438.148439
2.1e-05,39,438.218843
0.0001,50,438.301034
2.5e-05,33,438.361814
1e-06,35,438.497251
3.2e-05,33,438.546283
0.0,37,438.598621
0.000196,31,438.644078
0.0,25,438.67992
0.000154,39,438.741474
0.000192,35,438.801902
3.4e-05,35,438.943349
0.000418,46,439.022779
7e-05,21,439.05857
0.000133,39,439.115919
1.7e-05,65,439.223564
0.0,54,439.316443
0.0,27,439.362846
0.0,33,439.482243
1e-05,23,439.515473
1.7e-05,39,439.577793
0.000174,19,439.604337
0.0,45,439.666502
0.0003,34,439.726803
1e-06,30,439.780476
0.0,58,439.958176
0.000164,28,440.008022
1e-06,32,440.060145
0.000112,51,440.140798
3e-05,24,440.177603
0.000144,49,440.261714
8.3e-05,37,440.327093
0.000129,39,440.489026
0.000326,36,440.54961
0.0,21,440.586129
0.00028,30,440.635953
0.0,32,440.689299
0.00019,40,440.758748
2e-05,39,440.824839
3.8e-05,31,440.87857
1e-06,24,440.994458
0.0,40,441.070928
1e-05,30,441.12284
0.0,34,441.187344
1e-06,41,441.263952
0.0,23,441.304572
3e-06,33,441.354831
1e-06,21,441.386946
4e-06,32,441.499865
2e-06,61,441.593776
3.5e-05,32,441.639909
1e-06,42,441.703946
0.000181,31,441.748639
3.4e-05,23,441.784253
0.00017,25,441.820974
1e-06,48,441.964948
3.1e-05,25,442.000772
0.0,39,442.061759
8.7e-05,31,442.106697
9e-06,24,442.1412
4.6e-05,31,442.190463
0.000142,24,442.232205
0.0,25,442.274588
9e-06,34,442.399865
0.0002,23,442.439466
4.1e-05,42,442.511806
7.1e-05,22,442.545092
0.00037,24,442.583154
1e-06,28,442.633039
0.0,30,442.685649
0.0,51,442.766694
0.0,27,442.808174
3.2e-05,33,442.92423
1e-06,29,442.965475
0.0,69,443.074427
0.0,29,443.119657
1.3e-05,23,443.161836
1e-06,25,443.205101
2e-06,36,443.26863
1e-06,34,443.410122
8e-06,43,443.478812
0.0,35,443.54105
3e-06,26,443.585441
0.0,39,443.651247
4.2e-05,25,443.69564
0.000246,50,443.779611
0.0,32,443.91127
0.0,29,443.962514
3.6e-05,22,444.00041
0.000275,26,444.050154
1.4e-05,35,444.117628
2.9e-05,28,444.165417
9.5e-05,25,444.210651
3.8e-05,43,444.276154
0.000114,20,444.306097
0.0,45,444.451853
0.000188,25,444.490682
0.000208,46,444.56507
2.1e-05,33,444.624026
0.0,21,444.66151
0.000184,28,444.710987
6.2e-05,40,444.780921
9.1e-05,23,444.821357
2e-06,29,444.946586
2e-06,34,444.997482
1e-06,30,445.04372
1.8e-05,34,445.094896
8e-06,39,445.1541
0.0002,54,445.233665
1.1e-05,24,445.269443
7.6e-05,28,445.382651
0.0,33,445.431041
2e-06,40,445.489086
3.9e-05,31,445.536883
1.1e-05,28,445.579568
0.00017,51,445.65577
0.000106,19,445.683935
0.0,41,445.743793
4.2e-05,36,445.872702
7.1e-05,40,445.934625
4.7e-05,27,445.973585
1e-06,32,446.020589
1.2e-05,35,446.07618
7.7e-05,29,446.119687
0.000159,19,446.148583
0.0,30,446.193108
0.000231,44,446.340539
0.0,28,446.380569
1.2e-05,29,446.426163
0.0,58,446.516745
0.0,25,446.557496
4e-06,25,446.594656
0.000152,26,446.6328
4.2e-05,38,446.690973
1e-06,41,446.820013
1.2e-05,33,446.869974
0.0,29,446.912766
0.0,32,446.97165
2.5e-05,23,447.026306
1e-05,22,447.091366
0.000189,22,447.136389
9.7e-05,41,447.205571
0.0,36,447.331463
2.7e-05,25,447.371311
1e-06,33,447.420225
2.7e-05,37,447.47513
4e-06,28,447.520779
0.0,26,447.559994
5.3e-05,38,447.615458
0.000295,40,447.673747
1e-06,38,447.812654
1e-06,28,447.860178
0.000131,30,447.910242
5e-06,67,448.026375
0.000238,26,448.071256
1e-06,29,448.121989
7e-06,27,448.164559
0.000225,28,448.274147
0.000626,41,448.33731
0.0,42,448.399214
0.000131,39,448.460987
0.000292,36,448.524679
5e-06,31,448.576991
0.000171,43,448.640671
0.000167,35,448.761453
0.000299,31,448.812546
0.00012,34,448.871824
0.000202,42,448.944009
3e-06,30,449.000454
0.000217,37,449.062981
0.000126,21,449.100107
1.2e-05,28,449.147489
0.000144,29,449.280541
0.000283,37,449.35104
0.000201,24,449.393699
3.6e-05,31,449.447513
0.000207,52,449.541641
0.000161,37,449.606423
1e-06,30,449.658448
7.9e-05,50,449.840667
0.000283,25,449.897038
0.000189,29,449.958709
6e-05,65,450.092851
7.3e-05,27,450.147622
0.000253,61,450.255912
0.000207,19,450.300174
3e-06,33,450.434212
0.000644,28,450.482059
5.6e-05,21,450.519952
3e-06,24,450.56339
0.0,34,450.63302
4.4e-05,39,450.701479
3.3e-05,47,450.780419
1e-06,29,450.839051
2.4e-05,21,450.971262
9.5e-05,22,451.009462
1e-06,31,451.0654
1.7e-05,34,451.132341
1e-06,25,451.175145
0.000206,24,451.222789
0.000204,33,451.282702
1e-06,32,451.337663
7.3e-05,60,451.519573
8.8e-05,36,451.587698
0.000176,38,451.656517
2.7e-05,19,451.690252
1e-06,39,451.756685
0.000227,29,451.805998
2.4e-05,29,451.848536
8.6e-05,27,451.894368
0.000238,25,452.038701
0.000193,29,452.10219
5.5e-05,31,452.162203
0.0,47,452.245569
0.000209,26,452.29073
7e-06,22,452.331054
0.000166,29,452.379278
2.4e-05,21,452.42065
2e-06,37,452.490829
0.0,46,452.677487
0.0,24,452.71791
4e-06,41,452.798456
6.5e-05,29,452.858885
1.5e-05,24,452.901609
4.8e-05,59,453.001614
0.0,29,453.049655
1e-06,29,453.183439
0.000164,25,453.228499
0.00013,30,453.273654
0.0,21,453.308785
0.000147,31,453.361032
9.8e-05,23,453.395437
5.2e-05,25,453.431507
6e-06,43,453.495751
0.000209,37,453.555171
1e-06,26,453.671037
2.3e-05,47,453.746034
0.000216,43,453.809645
1e-06,33,453.86051
1.3e-05,30,453.911403
0.000207,24,453.950777
2.2e-05,20,453.986091
1e-06,26,454.030102
0.00014,23,454.143317
0.000156,41,454.204002
5.1e-05,20,454.237461
3e-06,38,454.296532
0.0,21,454.332565
5e-06,35,454.394875
3.8e-05,22,454.440167
0.000121,46,454.529729
0.000211,21,454.577005
1e-06,45,454.752421
1e-06,58,454.849583
0.0,22,454.893972
0.000178,39,454.968133
2.9e-05,21,455.005294
1e-06,21,455.040872
1e-06,36,455.105413
3.6e-05,20,455.227815
1e-06,22,455.270512
6.8e-05,27,455.322283
1e-06,25,455.372145
0.0,38,455.446382
3e-06,21,455.489498
0.000111,27,455.545661
0.000103,23,455.585213
6e-06,30,455.636056
0.000226,36,455.697183
2e-06,36,455.853741
1e-06,32,455.901226
2.1e-05,34,455.950421
1.8e-05,24,455.992072
5e-06,27,456.038689
0.000127,58,456.1506
0.00027,24,456.194421
0.000158,24,456.240563
1.3e-05,44,456.374082
9.4e-05,41,456.435919
4.1e-05,56,456.519304
1.8e-05,28,456.572906
4.4e-05,45,456.645716
0.00026,28,456.701768
0.0,69,456.87474
1.4e-05,39,456.940674
0.0,22,456.97396
3e-06,29,457.016609
9e-06,31,457.066845
2e-06,37,457.119795
0.000152,57,457.278007
1e-06,27,457.317475
1e-06,36,457.372709
0.0,55,457.452605
0.0,43,457.523473
5.6e-05,38,457.589323
0.000137,32,457.645165
0.000217,40,457.794804
0.000138,43,457.8592
1e-06,30,457.904814
0.0,33,457.95757
1e-06,19,457.984437
0.00069,25,458.020506
1e-06,25,458.057245
0.000218,35,458.110734
1.9e-05,25,458.218529
0.0,35,458.27115
0.0,39,458.330396
0.0,28,458.3717
0.000125,26,458.408979
1.7e-05,28,458.449642
3.8e-05,39,458.509159
2e-06,54,458.67651
1.8e-05,21,458.713543
0.000104,26,458.755751
0.00026,28,458.797731
3.6e-05,26,458.836234
6e-05,33,458.884973
3e-06,40,458.956044
0.0,26,458.992678
1e-06,36,459.049032
7e-05,48,459.208172
7.3e-05,22,459.245141
3e-05,34,459.295513
1e-06,20,459.330005
0.0,39,459.396474
0.0,26,459.446759
0.0,56,459.539229
8.8e-05,36,459.685362
0.000522,34,459.745418
1e-06,26,459.789554
1e-06,50,459.868065
0.0,31,459.913903
4e-06,44,459.989462
1.4e-05,40,460.060456
0.000163,21,460.09636
3.6e-05,20,460.211213
0.0,25,460.254713
1e-06,42,460.328254
0.0,19,460.36105
0.000202,32,460.416094
0.000356,25,460.459983
3.4e-05,37,460.524988
0.0,62,460.708634
0.0,39,460.778509
0.000219,24,460.822327
0.000182,27,460.86876
2e-06,24,460.910102
0.000187,41,460.979443
7e-05,46,461.066439
3.4e-05,20,461.101743
7e-06,26,461.147319
1e-06,22,461.261606
3e-05,52,461.350955
1e-06,39,461.417606
2.3e-05,40,461.488648
0.0,32,461.548103
1.1e-05,37,461.613407
6.6e-05,28,461.657369
8.3e-05,22,461.766077
0.000289,21,461.799392
5.6e-05,48,461.87118
0.000282,39,461.932802
1e-06,51,462.024136
0.000191,36,462.089518
0.0,41,462.161849
0.000249,38,462.293983
1e-06,30,462.3394
0.000247,39,462.396658
0.000175,32,462.449435
8e-06,39,462.510431
0.0,24,462.546762
1.3e-05,21,462.578553
2e-06,25,462.616274
3.6e-05,37,462.743124
1e-06,30,462.786969
4.6e-05,31,462.832416
0.0,30,462.878916
3.5e-05,27,462.918137
0.0,52,462.997088
0.0,34,463.049323
3e-05,44,463.191728
3.3e-05,33,463.241782
1e-05,43,463.306893
0.0,29,463.351336
2.8e-05,42,463.413577
0.0,39,463.468654
3.4e-05,31,463.521044
0.0,39,463.665193
0.000149,28,463.714203
9.3e-05,33,463.769679
1e-06,25,463.813397
0.00015,32,463.870217
5.7e-05,24,463.912653
0.0,25,463.957487
9e-06,19,463.990302
0.000223,25,464.034959
2.1e-05,46,464.189708
0.000185,28,464.233065
0.000373,25,464.278351
2.5e-05,23,464.320415
1.2e-05,27,464.371091
1e-06,36,464.439641
0.0,24,464.48255
2.4e-05,27,464.529098
0.0,59,464.692711
0.000249,25,464.732126
0.0,27,464.771915
0.00015,49,464.851878
0.0,27,464.909145
1e-06,25,464.958081
1e-06,60,465.075175
1e-06,20,465.113372
2e-06,47,465.268636
0.000237,30,465.313705
3e-05,28,465.356584
0.0,28,465.402073
1e-06,22,465.435073
1e-06,28,465.475195
8e-06,38,465.538574
0.000103,21,465.576449
4.6e-05,34,465.703369
0.0,27,465.745473
0.0,19,465.774756
3e-06,31,465.823285
6e-06,21,465.856244
0.00019,30,465.903943
0.000165,21,465.940833
0.0,26,465.987243
0.000154,27,466.034406
0.000202,26,466.079791
2e-06,23,466.121315
6e-06,31,466.808352
9.3e-05,23,466.853102
1e-06,20,466.894346
0.0,23,466.938895
0.000279,21,466.980327
5.9e-05,46,467.071203
2.8e-05,23,467.112033
4e-06,27,467.15723
8.3e-05,53,467.345963
0.0,51,467.431096
0.000246,25,467.472173
0.000121,38,467.540818
4.5e-05,28,467.596928
0.000147,22,467.638995
5e-06,27,467.692305
3e-06,26,467.743674
4.7e-05,22,467.791645
3.5e-05,41,468.008759
0.0,33,468.097677
1e-06,37,468.175843
2e-06,25,468.232716
1e-06,37,468.302885
7.3e-05,31,468.347939
1e-06,28,468.392292
9e-06,33,468.45437
0.000115,24,468.587296
4.5e-05,33,468.641427
0.000239,38,468.701231
1e-06,33,468.754206
0.00018,19,468.785592
3.5e-05,43,468.853688
5e-06,26,468.891791
0.000105,29,468.93721
0.0,36,469.07708
0.000388,39,469.134772
0.0,32,469.184706
8e-06,34,469.241112
0.000112,52,469.329633
0.00018,37,469.389218
1e-06,45,469.537309
6e-06,27,469.586962
8.1e-05,60,469.690847
1e-06,33,469.745947
7e-05,65,469.845124
0.000202,34,469.897157
0.000354,39,470.035643
0.000162,33,470.091974
7e-06,42,470.174156
0.0,38,470.242443
1e-06,30,470.288179
0.000401,28,470.336316
0.0,26,470.38063
0.0,51,470.549001
0.0,23,470.586644
7e-06,40,470.64368
2.2e-05,30,470.695491
0.000208,43,470.761367
0.000126,31,470.806295
0.000211,44,470.873385
9.4e-05,23,470.910609
0.00013,47,471.077511
4.2e-05,25,471.122394
0.000201,32,471.180062
2.2e-05,46,471.26169
8e-06,36,471.314
0.00019,28,471.36244
4.1e-05,22,471.400788
5.3e-05,26,471.445353
0.000202,23,471.55621
0.0,26,471.593392
1e-06,24,471.627252
6e-06,33,471.677859
0.000103,29,471.726321
0.0,26,471.765202
0.000419,28,471.806099
3e-06,27,471.84512
0.000474,22,471.878371
1e-06,25,471.915183
9.7e-05,30,472.027579
0.0,39,472.088555
0.000343,33,472.136629
0.000122,23,472.171108
1.2e-05,29,472.212683
0.000136,41,472.279081
1.6e-05,27,472.317303
1e-06,24,472.351076
1e-06,24,472.458072
1e-06,42,472.522021
0.000141,22,472.5572
1e-05,32,472.603518
1e-06,26,472.641755
3.2e-05,45,472.714656
0.000139,23,472.754685
0.000123,18,472.787076
0.0,28,472.833451
0.0,38,472.966176
2e-06,37,473.033533
9e-06,25,473.078924
0.000165,33,473.134709
3e-06,35,473.187748
2.5e-05,36,473.251413
0.000148,27,473.297376
0.000162,27,473.344391
0.000164,25,473.469224
1e-06,29,473.521171
2.2e-05,25,473.559077
2e-06,21,473.591613
1e-05,42,473.664141
4e-06,39,473.730774
1e-06,23,473.771204
3.8e-05,55,473.863997
7.5e-05,22,473.962094
1e-05,27,474.001691
0.000198,60,474.12472
1.6e-05,35,474.185752
0.0,47,474.267405
1e-06,45,474.337081
2e-06,34,474.477189
8.3e-05,52,474.560096
2e-06,31,474.606244
3.2e-05,25,474.643561
0.000102,44,474.708913
3.1e-05,27,474.751153
2e-06,44,474.823314
1e-06,35,474.948995
3.9e-05,24,474.984159
8e-06,28,475.025991
6.3e-05,21,475.059584
1e-06,25,475.097605
1e-06,56,475.179198
0.000132,38,475.234289
4e-06,40,475.298365
8.8e-05,33,475.429706
4e-06,49,475.513518
0.0,45,475.590285
0.0,30,475.641753
0.000156,36,475.701946
2.9e-05,36,475.764662
0.0,57,475.938461
7.2e-05,26,475.983902
0.0,29,476.029022
1.1e-05,38,476.08884
0.0,35,476.141097
5.5e-05,41,476.199332
1.1e-05,24,476.232979
4.9e-05,32,476.280399
0.000215,48,476.425346
0.000418,34,476.474311
1e-06,60,476.566893
0.000147,26,476.604662
1e-06,25,476.640812
6.6e-05,39,476.702976
0.0,29,476.754516
1.8e-05,36,476.877433
1e-06,45,476.945057
9e-06,24,476.981905
5e-06,27,477.02023
2.5e-05,41,477.085665
0.000191,26,477.13514
8e-06,24,477.177444
2.6e-05,21,477.21625
1e-06,21,477.254855
0.0,18,477.360686
0.000131,23,477.394107
3.1e-05,38,477.451043
3e-06,50,477.536174
6e-06,26,477.578157
1e-06,44,477.641758
0.00027,32,477.691598
0.000228,47,477.830405
0.0,30,477.874862
8.6e-05,34,477.926504
2.8e-05,21,477.956547
0.00014,26,477.996318
4.5e-05,32,478.048211
1e-06,31,478.094387
2.2e-05,33,478.145909
1e-06,25,478.182075
1.8e-05,35,478.322901
0.000129,61,478.427798
5e-06,33,478.486319
0.000289,30,478.534435
0.0,57,478.620996
0.0,47,478.780702
9.7e-05,21,478.819406
0.0,21,478.857249
1.8e-05,19,478.883681
1e-06,25,478.920644
2e-06,31,478.965327
0.000185,23,478.999669
1e-06,51,479.075927
1e-05,34,479.127894
0.000128,56,479.288637
0.0,20,479.320673
3e-06,19,479.35001
0.0,52,479.424372
0.0,42,479.489033
0.0,39,479.549473
1e-06,37,479.599421
0.0,35,479.716773
1e-06,22,479.753054
7e-05,37,479.818402
0.0,51,479.905087
1.6e-05,43,479.966625
0.000261,43,480.030475
0.000151,23,480.067889
0.0,43,480.225896
2e-06,35,480.278688
6.8e-05,21,480.308581
0.000136,27,480.355098
0.000325,24,480.396041
6.2e-05,30,480.441996
6e-06,73,480.555992
1e-06,29,480.663975
1.7e-05,36,480.716848
1e-06,24,480.754647
0.000247,24,480.790821
6.3e-05,26,480.829895
0.0,20,480.861568
1.4e-05,32,480.913528
3e-06,48,480.985203
8.4e-05,28,481.024889
2.6e-05,28,481.139609
1e-06,21,481.169317
0.000152,21,481.200062
8e-06,23,481.23462
0.000188,41,481.293891
2.3e-05,30,481.33734
4.4e-05,30,481.384492
3.5e-05,40,481.443401
0.0,35,481.497394
1.5e-05,22,481.613168
2.2e-05,28,481.662449
8e-06,20,481.697374
0.000286,44,481.765486
2.8e-05,22,481.796803
4e-05,26,481.838502
6e-06,42,481.901415
0.000133,29,481.946601
0.000286,20,481.978215
0.000201,27,482.088744
0.0,26,482.126957
0.000161,47,482.204693
0.0,24,482.246857
1e-06,35,482.306296
0.0,26,482.351272
8e-06,37,482.409258
3.7e-05,36,482.461102
1.4e-05,29,482.579002
0.000154,38,482.634084
2.3e-05,20,482.662391
0.0,30,482.704317
7e-06,25,482.741243
5e-06,34,482.792334
1e-06,20,482.820804
1e-06,46,482.895602
4e-06,43,483.040001
8e-06,39,483.109795
1e-06,29,483.16318
0.000177,34,483.22221
7.2e-05,34,483.272491
0.000205,33,483.324461
0.0,34,483.381879
1.2e-05,38,483.527689
0.00015,26,483.56843
1.8e-05,31,483.613876
0.0,29,483.660872
9.8e-05,28,483.710623
1.4e-05,32,483.77335
0.000154,41,483.842815
0.0,44,483.918536
0.000272,41,484.066371
1e-06,31,484.119964
3e-06,42,484.183605
2e-06,20,484.21322
0.000212,32,484.25995
1e-06,20,484.289032
1e-06,24,484.32545
1e-06,30,484.370831
3e-06,22,484.403712
0.000177,26,484.528065
0.0,41,484.602293
6e-06,27,484.643574
0.000232,24,484.677906
1e-06,42,484.739408
0.000243,25,484.77871
4.7e-05,22,484.810032
0.000216,27,484.851221
0.000406,45,484.988143
3.4e-05,21,485.018992
4.8e-05,37,485.074277
0.000194,26,485.113462
5.1e-05,23,485.14787
4.8e-05,25,485.186475
5e-06,23,485.21978
0.000212,39,485.276453
2e-06,37,485.338998
3.3e-05,60,485.495051
1.1e-05,20,485.526327
0.000122,32,485.574372
7.7e-05,45,485.647888
3.3e-05,30,485.695404
6.6e-05,28,485.739923
3e-06,24,485.776168
5.8e-05,38,485.929937
0.0,47,486.011027
3e-06,27,486.058753
0.0,20,486.103649
0.000145,45,486.184992
2e-06,24,486.222183
0.0,31,486.266426
0.0,51,486.343211
0.0,42,486.492587
0.000129,30,486.545614
0.000221,32,486.592958
6e-06,20,486.621985
2.7e-05,39,486.682965
4e-06,26,486.723337
4e-06,39,486.779483
0.0,36,486.900674
0.000256,27,486.93874
0.000107,27,486.980328
1.2e-05,46,487.053378
1e-06,30,487.10443
0.0,27,487.151518
1e-06,33,487.204848
1e-06,49,487.280328
9e-06,34,487.418125
0.000172,41,487.488075
0.000168,42,487.553365
2.3e-05,26,487.591878
1.7e-05,44,487.653383
2e-06,20,487.685587
8e-06,22,487.722028
6.3e-05,26,487.76546
0.000184,40,487.904994
0.000305,45,487.970291
0.000599,24,488.005841
0.0,29,488.051608
0.0,28,488.093089
0.0,35,488.142233
1e-06,24,488.177914
9e-06,23,488.211127
1.4e-05,43,488.341866
1.4e-05,39,488.402606
0.0,26,488.452222
2.5e-05,21,488.482536
0.000165,32,488.530798
9.2e-05,48,488.600665
0.000277,38,488.65842
0.000266,25,488.700752
1.4e-05,27,488.831223
8e-06,28,488.872399
3.6e-05,33,488.922606
0.000307,20,488.951429
9.7e-05,31,488.998354
0.000141,22,489.032028
0.0,40,489.105813
2.5e-05,25,489.150762
1.9e-05,18,489.183599
0.000297,84,489.379126
0.000189,37,489.435597
0.000136,34,489.4839
9e-06,28,489.528159
4e-05,37,489.582225
0.000137,36,489.640589
1e-06,33,489.760293
1e-06,22,489.793793
3.1e-05,37,489.849967
3.3e-05,57,489.934395
7.6e-05,39,490.024134
1e-06,42,490.099449
0.0,40,490.168786
0.000111,26,490.303316
0.0,28,490.353403
9e-06,29,490.396666
0.000367,25,490.436073
0.0,30,490.486807
6e-06,29,490.53805
9e-06,53,490.628064
7.6e-05,26,490.672695
8e-06,28,490.792716
1e-06,31,490.838593
0.000439,19,490.86631
0.000115,21,490.898505
2.6e-05,25,490.935672
0.0,47,491.014869
0.0,38,491.081111
0.000216,28,491.128802
6.7e-05,35,491.262728
6e-06,23,491.304006
1.4e-05,33,491.360208
3.5e-05,32,491.414189
0.000164,21,491.448628
0.000224,37,491.519108
1e-06,26,491.571692
0.000124,36,491.632669
0.000171,46,491.801883
4e-06,27,491.850848
1e-06,22,491.887362
1e-06,22,491.924723
0.0,22,491.964118
2e-06,35,492.026503
6.3e-05,25,492.078014
4e-06,84,492.220461
1e-06,25,492.323394
2e-06,26,492.360973
1.1e-05,28,492.403399
0.000193,27,492.448096
8.2e-05,30,492.501183
5e-05,25,492.545727
9.5e-05,23,492.58001
0.000191,19,492.606735
1.2e-05,35,492.658662
8.9e-05,25,492.700091
0.00028,19,492.806575
0.000419,34,492.862853
0.0,34,492.920321
0.0,32,492.973034
0.000129,66,493.08615
0.0,22,493.125586
0.0,31,493.182488
1e-06,39,493.319879
0.000106,36,493.372129
0.000189,27,493.412642
1.6e-05,28,493.453413
0.000141,40,493.519651
0.000198,32,493.566934
0.000235,30,493.612914
0.000189,27,493.65302
8e-06,29,493.778434
8.8e-05,33,493.835234
0.000117,27,493.882882
1e-06,21,493.919791
3e-06,32,493.97521
3.1e-05,29,494.026023
0.0,35,494.084506
0.0,45,494.161975
1e-06,28,494.210925
2e-06,37,494.348968
0.000168,35,494.405122
4.2e-05,49,494.473981
5.4e-05,49,494.557798
0.000126,42,494.621031
3.2e-05,22,494.651364
6e-05,33,494.7824
0.000153,32,494.832504
0.000261,21,494.87137
0.000181,20,494.905099
0.000242,29,494.954273
0.000119,23,494.993938
2e-06,29,495.052161
3.4e-05,23,495.096202
5.2e-05,30,495.148181
1e-06,27,495.195276
3.2e-05,29,495.305895
0.0,40,495.362287
2.6e-05,23,495.398903
1.6e-05,30,495.441665
6.5e-05,53,495.520551
0.0,29,495.564746
0.0,31,495.615126
0.000174,34,495.752501
0.000199,39,495.811012
1.8e-05,30,495.855423
1e-06,29,495.90083
1e-06,33,495.950315
2.3e-05,25,495.997253
1e-06,44,496.079324
0.00021,22,496.115059
0.000163,28,496.152605
1e-06,36,496.289074
0.000183,24,496.326458
1.1e-05,31,496.370173
1e-06,43,496.431934
0.000208,49,496.514168
0.000182,18,496.561096
1e-06,38,496.624409
5e-06,47,496.790121
2.4e-05,26,496.835264
1e-06,39,496.902707
4.7e-05,37,496.967556
1e-06,31,497.019657
0.0,32,497.072604
1e-06,21,497.106254
0.0,27,497.145848
0.000163,18,497.242993
3e-06,33,497.292366
5e-05,27,497.335598
2.8e-05,27,497.373132
1.1e-05,22,497.406361
0.000241,26,497.450209
2.2e-05,41,497.51905
0.000162,43,497.582128
0.000203,52,497.741795
1e-06,24,497.779715
0.0,27,497.820152
0.000126,26,497.861997
7.8e-05,32,497.907629
9.4e-05,32,497.959469
1e-06,28,498.004949
0.000259,30,498.060192
1e-06,30,498.113467
0.00018,35,498.239909
1e-06,33,498.290066
2e-06,33,498.337838
0.000352,31,498.386073
0.0,30,498.429948
3e-06,19,498.457518
0.000273,21,498.487439
4.8e-05,37,498.548454
0.000151,38,498.674774
2.1e-05,36,498.728188
0.0,30,498.771837
1e-06,32,498.820716
3.9e-05,37,498.883745
0.0,22,498.922466
1e-06,32,498.979193
0.000187,33,499.027679
1e-06,27,499.149724
2.7e-05,34,499.210251
2.7e-05,35,499.27282
1e-06,36,499.337782
